dspace field name,element name,mandatory?,element description,element guidance,element link for more information,idss element cluster,idss schema module,element options,element source,element type,element link for dublin core attributes
is.dateOfVersion,Date of version,,Date as indicated on the resource,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,ISEAL,DATE,
is.dateReviewed,Date reviewed,,"Date the resource was, is, or will be reviewed","Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,REPEAT VALUES,ISEAL,DATE,
is.dateRevised,Date revised,,"Date the resource was, is, or will be revised","Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,REPEAT VALUES,ISEAL,DATE,
dcterms.dateSubmitted,Date submitted,,Date when the resource is submitted to a repository or database,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/dateSubmitted/
is.extent.edition,Edition,,,,,GLOBAL,Status,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
dcterms.isReplacedBy,Is replaced by another item or resource,,"A related resource that supplants, displaces, or supersedes the described resource.",Normally a link to a later or improved resource,,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,URL,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/isReplacedBy/
is.item.reviewStatus,Peer review status,,Whether the resource has been peer reviewed,Select from control list,,GLOBAL,Status,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.dateOfVersion1,Standard date of version 1,,Date when version 1 of a standard was first issued,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,FSC,DATE,
dcterms.valid,Standard effective date,,Effective date of a code/standard or other resource.,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/valid/
is.identifier.standardStatus,Standard status,,Status of development of a standard,Select from control list,,GLOBAL,Status,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.extent.version,Version number,,Version number of a resource,Only if explicitly mentioned on the resource,,GLOBAL,Status,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.evaluation.authorDirectionality,Evaluation author directionality,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.comparison,Evaluation comparison,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.counterfacts,Evaluation counterfactuals,,"yes, no, not applicable",,,IMPACT,Evaluation,SINGLE Select from control list,ISEAL,CONTROLLED VALUE,
is.evaluation.dataSource,Evaluation data source,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.collection,Evaluation data/evidence collection method,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.findings,Evaluation findings,,Summary of the key finding of an evaluative study,,,IMPACT,Evaluation,REPEAT VALUES,ISEAL,FREE VALUE,
is.evaluation.noDifferenceDirectionality,Evaluation no difference directionality,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.notes,Evaluation notes,,"Notes from a study, not elsewhere covered",,,IMPACT,Evaluation,REPEAT VALUES,ISEAL,FREE VALUE,
is.evaluation.outcome,Evaluation outcome identified?,,"yes, no, not applicable",,,IMPACT,Evaluation,SINGLE Select from control list,ISEAL,CONTROLLED VALUE,
is.evaluation.quotes,Evaluation quotes on impact,,Quotes from an evaluative study,,,IMPACT,Evaluation,REPEAT VALUES,FSC,FREE VALUE,
is.evaluation.recommendations,Evaluation recommendations,,Recommendations from an evaluative study,,,IMPACT,Evaluation,REPEAT VALUES,ISEAL,FREE VALUE,
is.evaluation.significance,Evaluation statistical significance,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.evaluation.test,Evaluation statistical test,,,,,IMPACT,Evaluation,REPEAT VALUES,ISEAL,FREE VALUE,
is.evaluation.scope,Evaluation study scope,,,,,IMPACT,Evaluation,REPEAT VALUES,ISEAL,FREE VALUE,
is.evidenceSubType,Evidence resource subtype,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.evidenceResourceType,Evidence resource type,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.evidenceSummary,Evidence summary,,A narrative summary of the evidence presented in the resource.,,,IMPACT,Evaluation,SINGLE VALUE ONLY,Evidensia,FREE VALUE,
is.evidenceType,Evidence type,,,Select from control list,,IMPACT,Evaluation,SINGLE SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
